"sensor_name","sensor_id","date_installed","tidally_influenced","date_removed","street_name","borough","zipcode","community_board","council_district","census_tract","nta","latitude","longitude","lowest_point_height_delta_inches","location"
"Q - 188th St/ 58th Ave","Q-188th-st-58th-ave-1zbc0d","2025-09-11T00:00:00.000","No",,"58th Avenue","Queens","11365","411","QN11","4141700","QN1101","40.742676","-73.787458","5.67","POINT (-73.787458 40.742676)"
"BX - Duncan St/Paulding Ave","BX-paulding-ave-duncan-st-2caow0","2025-03-27T00:00:00.000","No",,"Duncan Street","Bronx","10469","212","BX12","2037000","BX1201","40.872997","-73.858546","16.34","POINT (-73.858546 40.872997)"
"Q - 30th Pl/ 47th Ave","Q-30th-pl-47th-ave-1x5co0","2024-06-06T00:00:00.000","No",,"30th Place","Queens","11101","402","QN02","4019902","QN0202","40.74307","-73.936655","8.03","POINT (-73.936655 40.74307)"
"Q - Church Rd/E 7th Rd","Q-church-rd-e-7th-rd-1zdtxo","2024-07-19T00:00:00.000","Yes","2025-08-21T00:00:00.000","East 7th Road","Queens","11693","414","QN14","4107201","QN1403","40.608545","-73.818352","11.14","POINT (-73.818352 40.608545)"
"Q - 160th St/107th Ave","Q-160th-st-107th-ave-1jtyc0","2023-09-21T00:00:00.000","No",,"160th Street","Queens","11433","412","QN12","4025402","QN1202","40.69737","-73.794579","9.49","POINT (-73.794579 40.69737)"
"Q - Russell St 1","Q-russell-st-1-07zqc0","2021-03-05T00:00:00.000","Yes",,"Russell Street","Queens","11414","410","QN10","4088400","QN1003","40.654312","-73.831566","6.1","POINT (-73.831566 40.654312)"
"Q - 37th Rd/Woodside Ave","Q-woodside-ave-37th-rd-1veb80","2024-05-03T00:00:00.000","No",,"37th Road","Queens","11377","402","QN02","4025500","QN0203","40.751047","-73.909431","12.36","POINT (-73.909431 40.751047)"
"BK - Linwood St/Wortman Ave","BK-linwood-st-wortman-ave-215zzc","2024-08-23T00:00:00.000","No",,"Wortman Avenue","Brooklyn","11208","305","BK05","3107800","BK0503","40.660735","-73.876004","11.26","POINT (-73.876004 40.660735)"
"BK - Clarendon Rd/E 56th St","BK-clarendon-rd-e-56th-st-20rvvo","2024-08-15T00:00:00.000","No",,"East 56th Street","Brooklyn","11203","317","BK17","3094600","BK1703","40.645056","-73.923793","12.01","POINT (-73.923793 40.645056)"
"BK - Henry St/Mill St","BK-henry-st-mill-st-0pzq40","2022-02-18T00:00:00.000","No",,"Henry Street","Brooklyn","11231","306","BK06","3008500","BK0601","40.675734","-74.003396","7.8","POINT (-74.003396 40.675734)"
"M - E 117th St/1st Ave","M-e-117th-st-1st-ave-1yji80","2024-07-03T00:00:00.000","No",,"1st Avenue","Manhattan","10035","111","MN11","1018800","MN1102","40.796533","-73.935178","13.82","POINT (-73.935178 40.796533)"
